SCRIP_CODE,KEY
47201,ADANIENT_26-Jul-2018_210.0_PE
47202,ADANIENT_26-Jul-2018_220.0_CE
47203,ADANIENT_26-Jul-2018_220.0_PE
47204,ADANIENT_26-Jul-2018_230.0_CE
47205,ADANIENT_26-Jul-2018_230.0_PE
47206,ADANIENT_26-Jul-2018_240.0_CE
47207,ADANIENT_26-Jul-2018_240.0_PE
37337,ADANIENT_26-Jul-2018_30.0_CE
37346,ADANIENT_26-Jul-2018_30.0_PE
47146,ADANIENT_26-Jul-2018_40.0_CE
47147,ADANIENT_26-Jul-2018_40.0_PE
47148,ADANIENT_26-Jul-2018_50.0_CE
47149,ADANIENT_26-Jul-2018_50.0_PE
47150,ADANIENT_26-Jul-2018_60.0_CE
47151,ADANIENT_26-Jul-2018_60.0_PE
47152,ADANIENT_26-Jul-2018_70.0_CE
47153,ADANIENT_26-Jul-2018_70.0_PE
47154,ADANIENT_26-Jul-2018_80.0_CE
47155,ADANIENT_26-Jul-2018_80.0_PE
47156,ADANIENT_26-Jul-2018_90.0_CE
47157,ADANIENT_26-Jul-2018_90.0_PE
48382,ADANIENT_28-Jun-2018_-0.01_XX
57564,ADANIENT_28-Jun-2018_100.0_CE
57565,ADANIENT_28-Jun-2018_100.0_PE
57566,ADANIENT_28-Jun-2018_110.0_CE
57567,ADANIENT_28-Jun-2018_110.0_PE
57578,ADANIENT_28-Jun-2018_120.0_CE
57579,ADANIENT_28-Jun-2018_120.0_PE
57580,ADANIENT_28-Jun-2018_130.0_CE
57581,ADANIENT_28-Jun-2018_130.0_PE
57582,ADANIENT_28-Jun-2018_140.0_CE
57583,ADANIENT_28-Jun-2018_140.0_PE
57584,ADANIENT_28-Jun-2018_150.0_CE
57585,ADANIENT_28-Jun-2018_150.0_PE
57586,ADANIENT_28-Jun-2018_160.0_CE
57587,ADANIENT_28-Jun-2018_160.0_PE
57588,ADANIENT_28-Jun-2018_170.0_CE
57589,ADANIENT_28-Jun-2018_170.0_PE
