,KEY,OI,CLOSE,EXPIRY_DT,SCRIP_CODE
149,BANKNIFTY_17-May-2018_28000.0_CE,28200.0,0.2,17-May-2018,
150,BANKNIFTY_17-May-2018_28000.0_PE,0.0,1566.5,17-May-2018,
151,BANKNIFTY_17-May-2018_28100.0_CE,0.0,0.05,17-May-2018,
152,BANKNIFTY_17-May-2018_28100.0_PE,0.0,1609.5,17-May-2018,
153,BANKNIFTY_17-May-2018_24000.0_PE,414800.0,0.55,17-May-2018,
154,BANKNIFTY_17-May-2018_24100.0_CE,0.0,1365.75,17-May-2018,
155,BANKNIFTY_17-May-2018_24100.0_PE,120.0,2.5,17-May-2018,
156,BANKNIFTY_17-May-2018_24200.0_CE,0.0,1299.25,17-May-2018,
157,BANKNIFTY_17-May-2018_24200.0_PE,0.0,404.8,17-May-2018,
158,BANKNIFTY_17-May-2018_24300.0_CE,0.0,1234.6,17-May-2018,
159,BANKNIFTY_17-May-2018_24300.0_PE,0.0,438.95,17-May-2018,
160,FTSE100_18-May-2018_0.0_XX,0.0,7364.0,18-May-2018,
161,FTSE100_18-May-2018_6200.0_CE,0.0,917.5,18-May-2018,44627.0
162,FTSE100_18-May-2018_6200.0_PE,0.0,2.9,18-May-2018,44628.0
163,FTSE100_18-May-2018_6300.0_CE,0.0,875.85,18-May-2018,38791.0
164,FTSE100_18-May-2018_6300.0_PE,0.0,14.05,18-May-2018,38796.0
165,FTSE100_18-May-2018_6400.0_CE,0.0,964.7,18-May-2018,41221.0
166,FTSE100_18-May-2018_6400.0_PE,0.0,18.2,18-May-2018,41222.0
167,FTSE100_18-May-2018_6500.0_CE,0.0,874.75,18-May-2018,41223.0
168,FTSE100_18-May-2018_6500.0_PE,0.0,26.5,18-May-2018,41238.0
169,FTSE100_18-May-2018_6600.0_CE,0.0,787.65,18-May-2018,41239.0
170,FTSE100_18-May-2018_6600.0_PE,0.0,37.65,18-May-2018,41240.0
171,FTSE100_18-May-2018_6700.0_CE,0.0,703.85,18-May-2018,41241.0
172,FTSE100_18-May-2018_6700.0_PE,0.0,52.15,18-May-2018,41243.0
173,FTSE100_18-May-2018_6800.0_CE,0.0,624.05,18-May-2018,41245.0
174,FTSE100_18-May-2018_6800.0_PE,0.0,70.55,18-May-2018,41248.0
175,FTSE100_18-May-2018_6900.0_CE,0.0,548.9,18-May-2018,41269.0
176,FTSE100_18-May-2018_6900.0_PE,0.0,93.7,18-May-2018,41270.0
177,FTSE100_18-May-2018_7000.0_CE,0.0,478.1,18-May-2018,41273.0
178,FTSE100_18-May-2018_7000.0_PE,0.0,121.1,18-May-2018,41274.0
179,FTSE100_18-May-2018_7100.0_CE,0.0,412.95,18-May-2018,41296.0
180,FTSE100_18-May-2018_7100.0_PE,0.0,154.25,18-May-2018,41297.0
181,FTSE100_18-May-2018_7200.0_CE,0.0,353.4,18-May-2018,41304.0
182,FTSE100_18-May-2018_7200.0_PE,0.0,192.95,18-May-2018,41305.0
183,FTSE100_18-May-2018_7300.0_CE,0.0,299.55,18-May-2018,41307.0
184,FTSE100_18-May-2018_7300.0_PE,0.0,237.35,18-May-2018,41308.0
185,FTSE100_18-May-2018_7400.0_CE,0.0,251.45,18-May-2018,41326.0
186,FTSE100_18-May-2018_7400.0_PE,0.0,287.5,18-May-2018,41329.0
187,FTSE100_18-May-2018_7500.0_CE,0.0,209.05,18-May-2018,41332.0
188,FTSE100_18-May-2018_7500.0_PE,0.0,343.35,18-May-2018,41333.0
189,FTSE100_18-May-2018_7600.0_CE,0.0,172.05,18-May-2018,41343.0
190,FTSE100_18-May-2018_7600.0_PE,0.0,404.65,18-May-2018,41345.0
191,FTSE100_18-May-2018_7700.0_CE,0.0,140.25,18-May-2018,41347.0
192,FTSE100_18-May-2018_7700.0_PE,0.0,471.05,18-May-2018,41348.0
193,FTSE100_18-May-2018_7800.0_CE,0.0,113.5,18-May-2018,41350.0
194,FTSE100_18-May-2018_7800.0_PE,0.0,542.55,18-May-2018,41353.0
195,FTSE100_18-May-2018_7900.0_CE,0.0,90.55,18-May-2018,41368.0
196,FTSE100_18-May-2018_7900.0_PE,0.0,617.9,18-May-2018,41369.0
197,FTSE100_18-May-2018_8000.0_CE,0.0,71.7,18-May-2018,41376.0
198,FTSE100_18-May-2018_8000.0_PE,0.0,697.25,18-May-2018,41377.0
199,FTSE100_18-May-2018_8100.0_CE,0.0,63.8,18-May-2018,36826.0
200,FTSE100_18-May-2018_8100.0_PE,0.0,729.3,18-May-2018,36827.0
201,FTSE100_18-May-2018_8200.0_CE,0.0,0.6,18-May-2018,35030.0
202,FTSE100_18-May-2018_8200.0_PE,0.0,796.05,18-May-2018,39896.0
203,FTSE100_18-May-2018_8300.0_CE,0.0,0.1,18-May-2018,36405.0
204,FTSE100_18-May-2018_8300.0_PE,0.0,772.65,18-May-2018,36413.0
205,FTSE100_18-May-2018_8400.0_CE,0.0,0.05,18-May-2018,39169.0
206,FTSE100_18-May-2018_8400.0_PE,0.0,816.3,18-May-2018,39170.0
207,FTSE100_18-May-2018_8500.0_CE,0.0,0.05,18-May-2018,40390.0
208,FTSE100_18-May-2018_8500.0_PE,0.0,825.15,18-May-2018,40391.0
