,KEY,EXPIRY_DT,SCRIP_CODE,OI4,CLOSE4,NET_CHG_IN_VAL4,AVG_PRICE4,OI5,CLOSE5,CHG_IN_OI5,NET_CHG_IN_VAL5,NEW_NET_VAL5,AVG_PRICE5
98,BANKNIFTY_24-May-2018_23800.0_PE,24-May-2018,45095.0,0.0,434.95,0.0,,0.0,434.95,0.0,0.0,0.0,
99,BANKNIFTY_24-May-2018_23900.0_CE,24-May-2018,45096.0,0.0,1010.0,0.0,,0.0,1010.0,0.0,0.0,0.0,
100,BANKNIFTY_24-May-2018_23900.0_PE,24-May-2018,45114.0,0.0,472.95,0.0,,0.0,472.95,0.0,0.0,0.0,
101,BANKNIFTY_24-May-2018_24000.0_CE,24-May-2018,45116.0,0.0,951.4,0.0,,0.0,951.4,0.0,0.0,0.0,
102,BANKNIFTY_24-May-2018_24000.0_PE,24-May-2018,45123.0,0.0,513.1,0.0,,0.0,513.1,0.0,0.0,0.0,
103,BANKNIFTY_24-May-2018_24100.0_CE,24-May-2018,45126.0,0.0,894.95,0.0,,0.0,894.95,0.0,0.0,0.0,
104,BANKNIFTY_24-May-2018_24100.0_PE,24-May-2018,45135.0,0.0,555.4,0.0,,0.0,555.4,0.0,0.0,0.0,
105,BANKNIFTY_24-May-2018_24200.0_CE,24-May-2018,45136.0,0.0,840.65,0.0,,0.0,840.65,0.0,0.0,0.0,
106,BANKNIFTY_24-May-2018_24200.0_PE,24-May-2018,45147.0,0.0,599.85,0.0,,0.0,599.85,0.0,0.0,0.0,
107,BANKNIFTY_24-May-2018_24300.0_CE,24-May-2018,45152.0,0.0,788.5,0.0,,0.0,788.5,0.0,0.0,0.0,
108,BANKNIFTY_24-May-2018_25300.0_CE,24-May-2018,45259.0,2840.0,750.5,0.0,0.0,2840.0,750.5,0.0,0.0,0.0,0.0
109,BANKNIFTY_24-May-2018_25300.0_PE,24-05-2018,45387.0,4080.0,21.4,4280.0,1.0490196078431373,4280.0,18.2,200.0,3640.0,7920.0,1.8504672897196262
110,BANKNIFTY_24-May-2018_25400.0_CE,24-05-2018,45389.0,0.0,354.0,0.0,,0.0,533.7,0.0,0.0,0.0,
111,BANKNIFTY_24-May-2018_25400.0_PE,24-05-2018,45407.0,2800.0,27.6,30912.0,12.691428571428572,5520.0,24.5,2720.0,66640.0,97552.0,17.672463768115943
112,BANKNIFTY_24-May-2018_25500.0_CE,24-05-2018,45408.0,520.0,700.0,0.0,0.0,520.0,775.0,0.0,0.0,0.0,0.0
113,BANKNIFTY_24-May-2018_25500.0_PE,24-05-2018,45410.0,63840.0,33.5,52260.0,2.3609649122807017,67720.0,30.85,3880.0,119698.0,171958.0,2.5392498523331364
114,BANKNIFTY_24-May-2018_25600.0_CE,24-May-2018,45411.0,7200.0,775.25,0.0,0.0,7200.0,775.25,0.0,0.0,0.0,0.0
115,BANKNIFTY_24-May-2018_25600.0_PE,24-05-2018,45412.0,16800.0,42.65,27296.0,0.7447619047619047,19880.0,39.95,3080.0,123046.00000000001,150342.0,7.562474849094567
116,BANKNIFTY_24-May-2018_25700.0_CE,24-May-2018,45413.0,0.0,276.95,0.0,,0.0,276.95,0.0,0.0,0.0,
117,BANKNIFTY_24-May-2018_25700.0_PE,24-05-2018,45417.0,27600.0,54.55,211654.0,9.132101449275362,29560.0,52.4,1960.0,102704.0,314358.0,10.634573748308526
118,BANKNIFTY_24-May-2018_25800.0_CE,24-May-2018,46605.0,0.0,392.95,0.0,,0.0,392.95,0.0,0.0,0.0,
119,BANKNIFTY_24-May-2018_25800.0_PE,24-05-2018,46606.0,46760.0,71.0,76680.0,3.9867835757057315,47880.0,67.45,1120.0,75544.0,152224.0,3.179281537176274
120,BANKNIFTY_24-May-2018_25900.0_CE,24-May-2018,46953.0,80.0,950.0,0.0,0.0,80.0,950.0,0.0,0.0,0.0,0.0
121,BANKNIFTY_24-May-2018_25900.0_PE,24-05-2018,46954.0,20520.0,88.05,21132.0,4.11832358674464,21800.0,85.1,1280.0,108928.0,130060.0,5.96605504587156
122,BANKNIFTY_24-May-2018_26000.0_CE,24-05-2018,46955.0,40000.0,363.9,0.0,21.96,42600.0,365.25,2600.0,949650.0,949650.0,22.29225352112676
123,BANKNIFTY_24-May-2018_26000.0_PE,24-05-2018,46957.0,126640.0,112.35,530292.0,8.349052432090966,131080.0,106.25,4440.0,471750.0,1002042.0,7.6445071711931645
124,BANKNIFTY_24-May-2018_26100.0_CE,24-05-2018,36989.0,5160.0,294.0,0.0,60.5406976744186,5360.0,305.85,200.0,61170.00000000001,61170.00000000001,11.412313432835822
125,BANKNIFTY_24-May-2018_26100.0_PE,24-05-2018,36992.0,18160.0,142.0,-62480.0,19.106057268722466,18760.0,136.95,600.0,82170.0,19690.0,1.0495735607675907
126,BANKNIFTY_24-May-2018_26200.0_CE,24-05-2018,38432.0,43080.0,236.65,208252.0,46.84410399257196,45320.0,239.35,2240.0,536144.0,744396.0,16.42533097969991
127,BANKNIFTY_24-May-2018_26200.0_PE,24-05-2018,38433.0,49320.0,179.65,64674.0,13.467883211678831,52480.0,171.0,3160.0,540360.0,605034.0,11.528849085365854
128,BANKNIFTY_24-May-2018_26300.0_CE,24-05-2018,38434.0,27320.0,185.0,222000.0,32.45095168374817,30400.0,187.3,3080.0,576884.0,798884.0,26.279078947368422
129,BANKNIFTY_24-May-2018_26300.0_PE,24-05-2018,38435.0,23320.0,220.05,211248.0,21.989794168096054,27080.0,210.05,3760.0,789788.0,1001036.0,36.96587887740029
130,BANKNIFTY_24-May-2018_26400.0_CE,24-05-2018,38442.0,33960.0,145.0,261000.0,35.684570082449945,37800.0,146.2,3840.0,561408.0,822408.0,21.7568253968254
131,BANKNIFTY_24-May-2018_26400.0_PE,24-05-2018,38443.0,9920.0,283.25,90640.0,11.415725806451613,10320.0,273.0,400.0,109200.0,199840.0,19.364341085271317
132,BANKNIFTY_24-May-2018_26500.0_CE,24-05-2018,35040.0,160200.0,108.15,268212.0,9.73342072409488,163280.0,109.9,3080.0,338492.0,606704.0,3.7157275845173934
133,BANKNIFTY_24-May-2018_26500.0_PE,24-05-2018,35041.0,63480.0,340.0,136000.0,4.5267800882167615,65640.0,339.2,2160.0,732672.0,868672.0,13.233881779402804
134,BANKNIFTY_24-May-2018_26600.0_CE,24-05-2018,39363.0,49080.0,80.35,54637.99999999999,9.255378973105135,52400.0,82.4,3320.0,273568.0,328206.0,6.263473282442748
135,BANKNIFTY_24-May-2018_26600.0_PE,24-05-2018,39367.0,3040.0,411.0,-16440.0,-5.407894736842105,3040.0,411.0,0.0,0.0,-16440.0,-5.407894736842105
136,BANKNIFTY_24-May-2018_26700.0_CE,24-05-2018,39368.0,71120.0,58.0,-16240.0,2.940944881889764,70240.0,59.0,-880.0,-51920.0,-68160.0,-0.9703872437357631
137,BANKNIFTY_24-May-2018_26700.0_PE,24-05-2018,39369.0,2240.0,546.6,0.0,0.0,2240.0,478.3,0.0,0.0,0.0,0.0
138,BANKNIFTY_24-May-2018_26800.0_CE,24-05-2018,40167.0,62840.0,40.0,100800.0,4.3488860598345,66440.0,40.7,3600.0,146520.0,247320.0,3.7224563515954245
