,KEY,OI1,CLOSE1,EXPIRY_DT,SCRIP_CODE,TOTAL_VAL
294,BANKNIFTY_24-May-2018_26500.0_CE,140800.0,111.75,24-May-2018,35040.0,15734400.0
295,BANKNIFTY_24-May-2018_26500.0_PE,62160.0,388.1,24-May-2018,35041.0,24124296.0
296,BANKNIFTY_24-May-2018_26600.0_CE,36760.0,84.3,24-May-2018,39363.0,3098868.0
297,BANKNIFTY_24-May-2018_26600.0_PE,3080.0,459.15,24-May-2018,39367.0,1414182.0
298,BANKNIFTY_24-May-2018_26700.0_CE,64360.0,64.3,24-May-2018,39368.0,4138348.0
299,BANKNIFTY_24-May-2018_26700.0_PE,2240.0,539.2,24-May-2018,39369.0,1207808.0
300,BANKNIFTY_24-May-2018_26800.0_CE,51360.0,46.5,24-May-2018,40167.0,2388240.0
301,BANKNIFTY_24-May-2018_26800.0_PE,40.0,516.05,24-May-2018,40168.0,20642.0
302,BANKNIFTY_24-May-2018_26900.0_CE,33520.0,33.75,24-May-2018,41773.0,1131300.0
303,BANKNIFTY_24-May-2018_26900.0_PE,520.0,684.6,24-May-2018,41774.0,355992.0
304,BANKNIFTY_24-May-2018_27000.0_CE,199000.0,25.0,24-May-2018,35111.0,4975000.0
305,BANKNIFTY_24-May-2018_27000.0_PE,360.0,860.0,24-May-2018,35117.0,309600.0
306,BANKNIFTY_24-May-2018_27100.0_CE,29920.0,17.7,24-May-2018,36358.0,529584.0
307,BANKNIFTY_24-May-2018_27100.0_PE,2680.0,904.2,24-May-2018,36359.0,2423256.0
308,BANKNIFTY_24-May-2018_27200.0_CE,26800.0,12.35,24-May-2018,37210.0,330980.0
309,BANKNIFTY_24-May-2018_27200.0_PE,0.0,1568.95,24-May-2018,37218.0,0.0
310,BANKNIFTY_24-May-2018_27300.0_CE,30360.0,8.3,24-May-2018,39065.0,251988.00000000003
311,BANKNIFTY_24-May-2018_27300.0_PE,0.0,1394.0,24-May-2018,39068.0,0.0
312,BANKNIFTY_24-May-2018_27400.0_CE,7880.0,6.55,24-May-2018,39069.0,51614.0
313,BANKNIFTY_24-May-2018_27400.0_PE,0.0,1487.5,24-May-2018,39072.0,0.0
314,BANKNIFTY_24-May-2018_27500.0_CE,100640.0,6.2,24-May-2018,39073.0,623968.0
315,BANKNIFTY_24-May-2018_22100.0_CE,0.0,1980.35,24-May-2018,45196.0,0.0
316,BANKNIFTY_24-May-2018_22100.0_PE,0.0,148.85,24-May-2018,45197.0,0.0
317,BANKNIFTY_24-May-2018_22200.0_CE,0.0,1898.7,24-May-2018,45198.0,0.0
318,BANKNIFTY_24-May-2018_22200.0_PE,0.0,166.0,24-May-2018,45199.0,0.0
