SCRIP_CODE,CLOSE,EXPIRY_DT
82301,nan,28-06-2018 
63145,nan,31-05-2018 
69220,nan,31-05-2018 
87811,nan,31-05-2018 
82787,nan,28-06-2018 
51164,nan,31-05-2018 
72635,147.0,31-05-2018 
55489,3.65,31-05-2018 
94894,18.35,31-05-2018 
66329,35.25,31-05-2018 
66613,3.45,31-05-2018 
96827,0.15,31-05-2018 
96988,96.4,28-06-2018 
69743,10.35,31-05-2018 
82863,1.8,28-06-2018 
89635,nan,28-06-2018 
90568,nan,28-06-2018 
63848,nan,31-05-2018 
45907,nan,24-06-2021 
80994,nan,28-06-2018 
81142,nan,28-06-2018 
100696,nan,28-06-2018 
51826,1.6,31-05-2018 
52087,nan,31-05-2018 
65314,1.0,31-05-2018 
85348,nan,31-05-2018 
95884,5.35,31-05-2018 
68001,0.5,31-05-2018 
82859,3.5,28-06-2018 
63271,nan,28-06-2018 
64061,nan,31-05-2018 
62640,0.25,31-05-2018 
81159,nan,28-06-2018 
58332,nan,28-06-2018 
39130,20.95,28-06-2018 
48729,974.3,28-06-2018 
94891,2.85,31-05-2018 
66331,nan,31-05-2018 
53978,13.6,31-05-2018 
54324,2.3,31-05-2018 
45973,nan,24-06-2021 
61991,nan,31-05-2018 
49859,nan,28-06-2018 
94054,0.8,31-05-2018 
57461,0.3,31-05-2018 
67814,3.25,31-05-2018 
97346,nan,28-06-2018 
92980,1.8,28-06-2018 
94817,nan,28-06-2018 
96388,nan,28-06-2018 
77854,nan,28-06-2018 
66571,nan,31-05-2018 
92784,nan,31-05-2018 
65984,6.3,31-05-2018 
53150,0.3,31-05-2018 
62501,259.0,31-05-2018 
99078,4.95,31-05-2018 
89334,nan,28-06-2018 
67176,0.65,31-05-2018 
92926,4.5,28-06-2018 
89596,nan,28-06-2018 
77963,nan,28-06-2018 
60237,nan,28-06-2018 
64298,nan,31-05-2018 
87868,nan,31-05-2018 
81209,23.8,31-05-2018 
35149,291.8,28-06-2018 
41976,29.85,28-06-2018 
81886,9.0,28-06-2018 
54995,1.5,31-05-2018 
63689,0.05,31-05-2018 
53980,15.5,31-05-2018 
87696,0.05,31-05-2018 
97888,nan,28-06-2018 
49019,4033.9,28-06-2018 
79681,nan,28-06-2018 
100381,nan,28-06-2018 
35080,nan,31-05-2018 
94153,nan,28-06-2018 
53161,0.15,31-05-2018 
68042,nan,28-06-2018 
35007,nan,17-05-2018 
49462,nan,28-06-2018 
74016,nan,31-05-2018 
52190,64.2,31-05-2018 
94892,30.6,31-05-2018 
87677,0.2,31-05-2018 
87706,nan,31-05-2018 
60339,0.3,31-05-2018 
45233,60.25,26-07-2018 
93504,nan,28-06-2018 
44767,nan,24-06-2021 
81326,nan,26-07-2018 
39062,0.1,17-05-2018 
52300,139.95,31-05-2018 
67427,1.7,31-05-2018 
97867,66.6,28-06-2018 
98799,nan,28-06-2018 
88491,7.0,31-05-2018 
89346,7.0,28-06-2018 
100280,0.8,31-05-2018 
94108,4.0,28-06-2018 
72104,nan,28-06-2018 
79238,nan,28-06-2018 
97385,nan,28-06-2018 
82792,0.75,28-06-2018 
88067,28.6,31-05-2018 
45355,142.45,27-06-2019 
38790,20.0,31-05-2018 
71782,2.35,31-05-2018 
39556,18.0,28-06-2018 
87758,13.25,31-05-2018 
62813,nan,28-06-2018 
64068,6.4,31-05-2018 
94100,nan,28-06-2018 
90682,nan,28-06-2018 
78823,28.0,28-06-2018 
78942,nan,28-06-2018 
43379,nan,31-05-2018 
72662,425.0,31-05-2018 
95881,40.65,31-05-2018 
81893,4.15,28-06-2018 
64314,nan,28-06-2018 
94572,nan,28-06-2018 
98451,nan,28-06-2018 
61705,50.0,31-05-2018 
88707,36.0,31-05-2018 
89189,3.2,31-05-2018 
77682,4.1,31-05-2018 
53354,nan,31-05-2018 
97865,nan,28-06-2018 
98521,nan,28-06-2018 
62110,4.15,31-05-2018 
98763,6.0,28-06-2018 
64072,34.65,31-05-2018 
63020,0.8,31-05-2018 
101967,0.25,31-05-2018 
50877,nan,30-06-2022 
94943,nan,28-06-2018 
61988,nan,31-05-2018 
41028,19.25,31-05-2018 
63811,14.25,31-05-2018 
56245,2.1,31-05-2018 
53894,3.95,31-05-2018 
98515,25.0,28-06-2018 
91339,nan,28-06-2018 
59473,nan,28-06-2018 
52271,nan,31-05-2018 
60604,13.0,28-06-2018 
39362,459.6,17-05-2018 
71347,6.75,31-05-2018 
88846,25.5,31-05-2018 
50670,1.4,31-05-2018 
63817,18.75,31-05-2018 
79329,nan,31-05-2018 
58557,nan,31-05-2018 
72930,nan,28-06-2018 
73270,nan,28-06-2018 
58957,3.0,31-05-2018 
48488,1181.15,28-06-2018 
50272,522.5,31-05-2018 
46311,339.45,26-07-2018 
56177,29.9,31-05-2018 
92391,6.0,31-05-2018 
87230,nan,31-05-2018 
59370,0.2,31-05-2018 
87682,1.85,31-05-2018 
60694,nan,31-05-2018 
69737,25.0,31-05-2018 
98825,nan,28-06-2018 
63173,0.35,31-05-2018 
99602,73.5,31-05-2018 
46546,21.0,26-12-2019 
71475,3.5,28-06-2018 
90677,nan,28-06-2018 
101578,104.1,31-05-2018 
45853,nan,24-06-2021 
80932,nan,28-06-2018 
74386,3.7,31-05-2018 
63333,nan,28-06-2018 
104235,39.3,28-06-2018 
48382,123.85,28-06-2018 
89981,121.55,31-05-2018 
64287,0.05,31-05-2018 
69507,0.3,31-05-2018 
97653,10.0,28-06-2018 
60335,0.2,31-05-2018 
88526,0.05,31-05-2018 
89268,nan,28-06-2018 
58385,nan,28-06-2018 
57571,183.0,31-05-2018 
51601,0.65,31-05-2018 
64699,32.8,31-05-2018 
52952,0.1,31-05-2018 
60342,78.85,31-05-2018 
88294,nan,31-05-2018 
90566,2.0,28-06-2018 
105374,nan,28-06-2018 
80944,nan,28-06-2018 
40122,nan,30-06-2022 
58461,nan,28-06-2018 
48493,80.15,28-06-2018 
55136,4.0,31-05-2018 
72621,464.8,31-05-2018 
70540,nan,28-06-2018 
45805,nan,24-06-2021 
48691,nan,30-12-2021 
50851,nan,30-06-2022 
93670,nan,31-05-2018 
50586,nan,31-05-2018 
73511,110.0,31-05-2018 
90939,16.55,31-05-2018 
56259,28.0,31-05-2018 
62714,0.25,31-05-2018 
101295,8.0,31-05-2018 
72926,nan,28-06-2018 
41896,160.0,31-12-2020 
43374,125.0,31-05-2018 
76421,2.1,31-05-2018 
43383,nan,28-06-2018 
88840,48.0,31-05-2018 
56658,7.0,31-05-2018 
65748,1.8,31-05-2018 
87675,0.05,31-05-2018 
69866,50.0,31-05-2018 
62770,1.15,28-06-2018 
88304,13.15,31-05-2018 
82320,11.8,28-06-2018 
89361,nan,28-06-2018 
101523,31.4,31-05-2018 
103061,0.2,31-05-2018 
73410,nan,28-06-2018 
77899,nan,28-06-2018 
55812,nan,31-05-2018 
98915,nan,28-06-2018 
95403,nan,28-06-2018 
74894,nan,31-05-2018 
35040,101.15,24-05-2018 
49554,nan,28-06-2018 
63534,1.1,31-05-2018 
72639,97.4,31-05-2018 
94240,23.4,31-05-2018 
52641,180.0,31-05-2018 
65746,3.1,31-05-2018 
53977,0.4,31-05-2018 
97980,3.1,28-06-2018 
98859,nan,28-06-2018 
94102,5.5,28-06-2018 
96219,nan,28-06-2018 
41915,166.05,31-12-2020 
45624,nan,26-07-2018 
79986,nan,28-06-2018 
90699,nan,28-06-2018 
90804,85.0,28-06-2018 
99573,nan,31-05-2018 
58495,nan,28-06-2018 
36675,0.75,28-06-2018 
40728,160.0,27-12-2018 
52083,nan,31-05-2018 
93435,26.65,31-05-2018 
94244,11.3,31-05-2018 
57744,59.85,31-05-2018 
59882,16.45,31-05-2018 
96845,48.0,31-05-2018 
87656,3.0,31-05-2018 
87689,22.5,31-05-2018 
61816,1.7,31-05-2018 
61965,39.0,31-05-2018 
101515,19.5,31-05-2018 
102065,25.5,31-05-2018 
88590,0.05,31-05-2018 
90598,nan,28-06-2018 
69226,nan,31-05-2018 
88852,6.0,31-05-2018 
72061,0.45,31-05-2018 
72637,117.85,31-05-2018 
65758,1.0,31-05-2018 
95890,2.45,31-05-2018 
67770,0.25,31-05-2018 
69303,10.9,31-05-2018 
97893,nan,28-06-2018 
104157,nan,28-06-2018 
73321,1.6,28-06-2018 
89164,nan,31-05-2018 
59300,nan,28-06-2018 
39554,nan,17-05-2018 
45957,57.05,24-06-2021 
64285,0.05,31-05-2018 
56459,nan,31-05-2018 
62097,14.0,31-05-2018 
88520,0.25,31-05-2018 
62752,2.85,31-05-2018 
81230,nan,28-06-2018 
50834,nan,30-06-2022 
60588,nan,28-06-2018 
60593,nan,28-06-2018 
55849,0.95,31-05-2018 
64060,0.9,31-05-2018 
50395,243.55,31-05-2018 
39856,3175.95,31-05-2018 
51752,5.5,31-05-2018 
93651,nan,31-05-2018 
94075,126.0,31-05-2018 
53074,5.75,31-05-2018 
67433,4.4,31-05-2018 
96741,0.65,28-06-2018 
63262,7.5,28-06-2018 
101371,19.5,31-05-2018 
73271,nan,28-06-2018 
79149,nan,28-06-2018 
65294,nan,31-05-2018 
104426,nan,28-06-2018 
60818,7.0,31-05-2018 
81507,19.9,31-05-2018 
62786,nan,28-06-2018 
88591,22.35,31-05-2018 
91276,nan,28-06-2018 
95264,3.55,28-06-2018 
105364,nan,28-06-2018 
97414,nan,28-06-2018 
98875,nan,28-06-2018 
98889,nan,28-06-2018 
43906,0.6,17-05-2018 
43852,0.05,17-05-2018 
99094,nan,28-06-2018 
63280,2.75,31-05-2018 
103950,nan,28-06-2018 
88668,nan,31-05-2018 
60083,nan,28-06-2018 
56186,1.15,31-05-2018 
